CE-CO,CE-PM10,julian_day,hour
16.15109890109891,106.31593406593407,1,0
17.23076923076923,107.82417582417582,1,1
17.74775224775224,109.18031968031967,1,2
17.798201798201784,110.4175824175824,1,3
17.47827172827171,111.56918081918079,1,4
16.884115884115865,112.66833166833163,1,5
16.111888111888064,113.74825174825139,1,6
15.293706293706247,114.99999999999966,1,7
14.573426573426527,116.1608391608388,1,8
14.020979020978977,117.49650349650315,1,9
13.734265734265694,118.88811188811152,1,10
13.335664335664294,120.24475524475487,1,11
12.755244755244718,121.34965034964999,1,12
12.244755244755208,122.38461538461502,1,13
11.580419580419544,123.22377622377586,1,14
11.013986013985981,123.69230769230732,1,15
10.321678321678291,123.8741258741255,1,16
9.510489510489482,123.63636363636326,1,17
8.741258741258715,123.19580419580382,1,18
8.174825174825148,122.79720279720243,1,19
7.741258741258718,122.39160839160802,1,20
7.370629370629348,122.11188811188775,1,21
7.132867132867111,121.72027972027935,1,22
6.853146853146832,121.30069930069894,1,23
6.51048951048949,120.5664335664332,2,0
6.160839160839142,119.68531468531434,2,1
5.846153846153829,118.4545454545451,2,2
5.594405594405577,116.76223776223742,2,3
5.419580419580402,114.98601398601365,2,4
5.398601398601382,113.19580419580387,2,5
5.454545454545437,111.50349650349617,2,6
5.741258741258724,109.64335664335633,2,7
6.076923076923059,106.9230769230766,2,8
6.51048951048949,102.77622377622347,2,9
7.090909090909069,97.86013986013955,2,10
7.468531468531446,92.51048951048924,2,11
7.615384615384592,86.81818181818156,2,12
7.6573426573426335,80.56643356643332,2,13
7.720279720279697,74.72027972027949,2,14
7.699300699300676,69.94405594405573,2,15
7.734265734265711,66.58041958041937,2,16
7.657342657342634,64.202797202797,2,17
7.608391608391584,62.95804195804177,2,18
7.650349650349627,62.30069930069911,2,19
7.846153846153822,61.62237762237743,2,20
8.24475524475522,60.678321678321495,2,21
8.664335664335638,60.300699300699115,2,22
8.923076923076895,59.958041958041775,2,23
8.993006993006965,59.7832167832166,3,0
9.16783216783214,59.440559440559255,3,1
9.342657342657313,59.91608391608373,3,2
9.48951048951046,61.0909090909089,3,3
9.503496503496475,62.17482517482499,3,4
9.510489510489482,63.104895104894915,3,5
9.713286713286683,64.4965034965033,3,6
9.853146853146823,66.16783216783197,3,7
10.083916083916053,67.61538461538441,3,8
10.405594405594375,69.33566433566412,3,9
10.496503496503465,70.78321678321656,3,10
10.51048951048948,72.34965034965012,3,11
10.293706293706263,73.9370629370627,3,12
10.104895104895075,75.41258741258717,3,13
9.664335664335635,77.1328671328669,3,14
9.16783216783214,78.45454545454521,3,15
8.643356643356618,78.93006993006969,3,16
8.286713286713262,79.46153846153821,3,17
8.062937062937038,79.86013986013961,3,18
7.9230769230768985,80.0419580419578,3,19
7.818181818181794,79.8461538461536,3,20
7.790209790209767,79.86013986013961,3,21
7.790209790209767,81.50349650349627,3,22
7.769230769230745,81.48251748251724,3,23
7.524475524475501,79.99300699300676,4,0
7.314685314685292,77.35664335664313,4,1
6.909090909090888,73.75524475524453,4,2
6.552447552447532,69.54545454545433,4,3
6.398601398601379,65.38461538461519,4,4
6.496503496503477,62.454545454545254,4,5
6.88111888111886,60.77622377622359,4,6
7.650349650349627,60.55944055944037,4,7
8.489510489510465,62.2937062937061,4,8
9.622377622377593,65.73426573426553,4,9
10.797202797202765,71.17482517482496,4,10
11.762237762237728,74.59440559440537,4,11
12.573426573426536,77.97202797202773,4,12
13.146853146853108,80.81118881118857,4,13
13.335664335664298,82.86013986013961,4,14
13.237762237762198,84.3496503496501,4,15
13.055944055944018,85.20979020978996,4,16
12.776223776223738,85.74825174825149,4,17
12.475524475524438,85.93006993006966,4,18
12.244755244755208,85.74825174825149,4,19
11.999999999999963,85.4685314685312,4,20
11.970629370629334,84.6643356643354,4,21
11.93169456805817,84.02797202797177,4,22
11.966179275270147,83.71328671328646,4,23
12.069421487603268,83.95104895104869,5,0
12.087575051211378,84.72727272727246,5,1
11.174486119940632,85.72027972027945,5,2
11.253231616867946,86.31468531468505,5,3
12.002133220314999,86.48951048951022,5,4
13.34426785335872,86.18881118881092,5,5
15.048866285229877,85.32167832167806,5,6
16.89914529914525,83.62237762237737,5,7
18.769230769230713,80.74125874125849,5,8
20.516083916083854,77.230769230769,5,9
21.79564879564873,73.59440559440537,5,10
22.251748251748182,69.77622377622356,5,11
21.64335664335658,64.32867132867113,5,12
19.853146853146797,60.97202797202779,5,13
16.923076923076874,59.46153846153828,5,14
14.832167832167785,59.279720279720095,5,15
12.776223776223736,60.202797202797015,5,16
11.090909090909056,62.05594405594387,5,17
9.930069930069898,64.45454545454525,5,18
9.265734265734237,67.02097902097881,5,19
9.286713286713256,69.3216783216781,5,20
9.832167832167801,71.1048951048949,5,21
10.545454545454513,71.8111888111886,5,22
11.335664335664301,70.9020979020977,5,23
12.146853146853111,68.34965034965015,6,0
12.67832167832164,67.8951048951047,6,1
13.027972027971988,67.13986013985993,6,2
13.27972027972024,66.11188811188791,6,3
13.67132867132863,64.76223776223756,6,4
13.99300699300695,63.16083916083897,6,5
14.230769230769187,61.34265734265715,6,6
14.230769230769187,59.23076923076905,6,7
14.097902097902058,56.68531468531451,6,8
13.797202797202756,53.69230769230753,6,9
13.230769230769193,50.699300699300544,6,10
12.342657342657304,47.92307692307678,6,11
11.181818181818148,45.951048951048804,6,12
9.706293706293676,44.99300699300686,6,13
8.272727272727249,44.545454545454405,6,14
7.097902097902075,45.01398601398588,6,15
6.167832167832149,45.99300699300685,6,16
5.363636363636346,47.27972027972014,6,17
